"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1530806627145687041","https://twitter.com/DRZs7ggR0FoS8kr/status/1530806627145687041","@CREST__eS @L1am_n 1.2おねがいします","2022-05-29 07:01 +0000","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1520710977825951744","https://twitter.com/DRZs7ggR0FoS8kr/status/1520710977825951744","https://t.co/aiSXIqDlLA
#カビュウ #投資家タイプ診断 https://t.co/Ty6LAkzT0H","2022-05-01 10:25 +0000","50.0","4.0","0.08","0.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
